player_name,total_events,passes,shots,goals,xg,goals_minus_xg,shots_per_goal
Mesut Özil,8413,2511,49.0,6.0,5.97,0.03000000000000025,8.166666666666666
Aaron Ramsey,8051,2197,67.0,5.0,7.37,-2.37,13.4
Ignacio Monreal Eraso,6539,2259,13.0,0.0,1.2,-1.2,
Alexis Alejandro Sánchez Sánchez,6455,1488,111.0,13.0,11.26,1.7400000000000002,8.538461538461538
Héctor Bellerín Moruno,6412,2094,13.0,1.0,0.61,0.39,13.0
Laurent Koscielny,5170,1671,20.0,4.0,3.2,0.7999999999999998,5.0
Olivier Giroud,4139,825,103.0,16.0,13.02,2.9800000000000004,6.4375
Santiago Cazorla González,4106,1300,24.0,0.0,1.78,-1.78,
Francis Joseph Coquelin,3862,1104,9.0,0.0,0.24,-0.24,
Per Mertesacker,3443,1238,8.0,0.0,1.24,-1.24,
Gabriel Armando de Abreu,3272,1074,12.0,1.0,1.04,-0.040000000000000036,12.0
Petr Čech,2562,1036,0.0,0.0,0.0,0.0,
Mohamed Naser Elsayed Elneny,2401,744,13.0,0.0,0.98,-0.98,
Alex Oxlade-Chamberlain,2094,495,23.0,1.0,1.48,-0.48,23.0
Mathieu Flamini,1986,627,7.0,0.0,0.92,-0.92,
Theo Walcott,1841,333,46.0,5.0,6.7,-1.7000000000000002,9.2
Joel Nathaniel Campbell Samuels,1733,350,20.0,3.0,1.76,1.24,6.666666666666667
Alex Iwobi,1485,376,15.0,2.0,1.72,0.28,7.5
Daniel Nii Tackie Mensah Welbeck,976,145,20.0,4.0,3.02,0.98,5.0
Kieran Gibbs,841,219,5.0,1.0,0.67,0.32999999999999996,5.0
Calum Chambers,689,190,2.0,0.0,0.19,-0.19,
Mikel Arteta Amatriain,413,128,1.0,0.0,0.37,-0.37,
Jack Wilshere,340,77,1.0,0.0,0.31,-0.31,
David Ospina Ramírez,305,127,0.0,0.0,0.0,0.0,
Mathieu Debuchy,297,101,1.0,0.0,0.03,-0.03,
